name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2
Aaark Cafe,https://yandex.ru/maps/org/aaark_cafe/187180413058/,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,09:00–21:00,09:00–21:00,1500,4.9,1216.0,"Москва, ул. Чаплыгина, 20, стр. 7",940 м,Курская,519.0,64,858.0,"европейская, американская, английская, смешанная",1–15,True,False,"Кафе, Ресторан, Пекарня",1,55.761598,37.649481,
Ача-Чача,https://yandex.ru/maps/org/acha_chacha/1145048054/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-2000,4.7,4835.0,"Москва, Ленинградский просп., 9Б, стр. 1",620 м,Белорусская,36.0,116,2312.0,"грузинская, европейская, кавказская, авторская",,True,True,"Кафе, Ресторан",3,55.780507,37.574624,
Адам,https://yandex.ru/maps/org/adam/61786401208/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,2000-2500,4.9,1303.0,"Москва, Большая Грузинская ул., 76",380 м,Белорусская,380.0,51,736.0,"турецкая, восточная, арабская, международная, мясная, рыбная, смешанная, средиземноморская, шашлык, халяльная",10–12,True,False,"Ресторан, Кафе",2,55.773591,37.586922,
Аэрофоб & я,https://yandex.ru/maps/org/aerofob_ya/211842615446/,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,08:00–21:00,1200,4.8,592.0,"Москва, ул. Авиаконструктора Сухого, 2, корп. 2",560 м,ЦСКА,286.0,94,285.0,"европейская, нет специализации",до 10,True,False,"Ресторан, Кофейня, Кафе",1,55.787143,37.542464,
Allegro,https://yandex.ru/maps/org/allegro/203102195995/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1000-1500,4.2,43.0,"Москва, Ленинградский просп., 31А, стр. 1",900 м,Динамо,52.0,0,15.0,"европейская, итальянская, русская, японская, морская, мясная",,True,False,"Ресторан, Кафе, Бар",1,55.7836,37.560197,
Alma,https://yandex.ru/maps/org/alma/173338242118/,Выходной,Выходной,12:00–23:00,12:00–23:00,12:00–01:00,12:00–01:00,12:00–23:00,1500-2000,4.8,681.0,"Москва, Столярный пер., 3, корп. 13",470 м,Улица 1905 года,116.0,0,340.0,"европейская, арабская, еврейская, смешанная",,True,False,"Бар, Ресторан, Кафе",1,55.764283,37.568399,
АльмаМоре,https://yandex.ru/maps/org/almamore/45945815180/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-2500,5.0,880.0,"Москва, ул. Академика Королёва, 10Б, стр. 1","1,79 км",ВДНХ,426.0,39,505.0,"европейская, итальянская, французская, морская, авторская, мясная, индийская, постная, рыбная",10–25,True,False,"Ресторан, Банкетный зал, Кафе",1,55.823216,37.615704,
Alshami,https://yandex.ru/maps/org/alshami/137725125637/,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,100-900,5.0,195.0,"Москва, Ярославская ул., 17",600 м,ВДНХ,106.0,2,117.0,,5–8,True,False,"Кафе, Кофейня, Ресторан",1,55.822463,37.648456,
Алтаргана,https://yandex.ru/maps/org/altargana/158734235425/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-2000,4.8,2586.0,"Москва, Садовая-Черногрязская ул., 3Б, стр. 1",450 м,Красные Ворота,205.0,43,1143.0,"китайская, восточная, азиатская, сибирская, смешанная, национальная",до 12,True,False,"Кафе, Ресторан",1,55.767332,37.653056,
Анна,https://yandex.ru/maps/org/anna/188972835344/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,11:00–00:00,11:00–00:00,2500-3500,5.0,367.0,"Москва, ул. Большая Дмитровка, 10, стр. 4",300 м,Охотный Ряд,72.0,42,307.0,"французская, европейская, русская",до 21,True,True,"Ресторан, Бар",1,55.761203,37.615003,
