name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Амбассадория,https://yandex.com/maps/org/ambassadoria/101555527161/,12:00–23:30,12:00–23:30,12:00–23:30,12:00–23:30,12:00–23:30,12:00–23:30,12:00–23:30,2000-3000,4.4,634,"Комсомольский просп., 13, Москва",700,Фрунзенская,183,75,312
Amber,https://yandex.ru/maps/org/amber/243442380206/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–01:00,12:00–01:00,12:00–00:00,,4.7,1261,"Цветной бул., 2, Москва",173,Трубная,421,70,701
Ami Chaise,https://yandex.ru/maps/org/ami_chaise/116671620173/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,700-1200,4.7,1021,"Нижняя Красносельская ул., 35, стр. 49, Москва",600,Бауманская,129,54,541
Ami Chaise,https://yandex.ru/maps/org/ami_chaise/46100062934/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,990-2200,5.0,506,"Ленинградский просп., 36, стр. 38, Москва",520,Динамо,165,57,230
Amphora,https://yandex.ru/maps/org/amphora/128434812078/,Выходной,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,2500-10000,4.9,78,"Пречистенская наб., 17-19, Москва",780,Кропоткинская,90,0,58
Anchovy’s Club,https://yandex.ru/maps/org/anchovy_s_club/214459289040/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–02:00,10:00–02:00,10:00–00:00,,5.0,2167,"Колокольников пер., 3, стр. 2, Москва",340,Трубная,394,77,1252
АндерСон,https://yandex.ru/maps/org/anderson/104269030501/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–23:00,09:00–23:00,1500-2500,4.8,5223,"ул. Льва Толстого, 23, корп. 1, Москва",920,Парк культуры,505,4,2982
АндерСон,https://yandex.ru/maps/org/anderson/161984671819/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,1000-1700,5.0,5632,"Жулебинский бул., 5, Москва",610,Лермонтовский проспект,866,131,3991
АндерСон,https://yandex.ru/maps/org/anderson/1686677393/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2000,4.6,2760,"Кусковская ул., 47, Москва",1,Перово,277,155,1313
АндерСон,https://yandex.ru/maps/org/anderson/196660225982/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,500-1000,4.4,1460,"наб. Академика Туполева, 15, Москва",1,Бауманская,138,134,786
Андиамо,https://yandex.com/maps/org/andiamo/1060003585/,12:00–02:00,12:00–02:00,12:00–02:00,12:00–02:00,12:00–02:00,12:00–02:00,12:00–02:00,2500-3000,4.7,3743,"ул. Строителей, 4, стр. 2, Москва",460,Вавиловская,229,177,1533
Английский паб Бронзовый Лев,https://yandex.ru/maps/org/angliyskiy_pab_bronzovy_lev/73006407924/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,14:00–05:00,14:00–05:00,14:00–00:00,800-1000,4.8,3862,"Бакинская ул., 6, Москва",990,Кантемировская,1631,41,2193
